api_name,custom,category,deprecated_name,description
achievementId,False,Other,,The achievement ID in a game for an event. Populated by the event parameter `achievement_id`.
adFormat,False,Publisher,,"Describes the way ads looked and where they were located. Typical formats include `Interstitial`, `Banner`, `Rewarded`, and `Native advanced`."
adSourceName,False,Publisher,,"The source network that served the ad. Typical sources include `AdMob Network`, `Liftoff`, `Facebook Audience Network`, and `Mediated house ads`."
adUnitName,False,Publisher,,The name you chose to describe this Ad unit. Ad units are containers you place in your apps to show ads to users.
appVersion,False,Platform / Device,,The app's versionName (Android) or short bundle version (iOS).
audienceId,False,User,,The numeric identifier of an Audience. Users are reported in the audiences to which they belonged during the report's date range. Current user behavior does not affect historical audience membership in reports.
audienceName,False,User,,The given name of an Audience. Users are reported in the audiences to which they belonged during the report's date range. Current user behavior does not affect historical audience membership in reports.
audienceResourceName,False,User,,"The resource name of this audience. Resource names contain both collection & resource identifiers to uniquely identify a resource; to learn more, see [Resource names](//google.aip.dev/122)."
brandingInterest,False,Demographics,,"Interests demonstrated by users who are higher in the shopping funnel. Users can be counted in multiple interest categories. For example, `Shoppers`, `Lifestyles & Hobbies/Pet Lovers`, or `Travel/Travel Buffs/Beachbound Travelers`."
browser,False,Platform / Device,,The browsers used to view your website.
campaignId,False,Attribution,,"The identifier of the marketing campaign. Present only for key events. Includes Google Ads Campaigns, Manual Campaigns, & other Campaigns."
campaignName,False,Attribution,,"The name of the marketing campaign. Present only for key events. Includes Google Ads Campaigns, Manual Campaigns, & other Campaigns."
character,False,Other,,The player character in a game for an event. Populated by the event parameter `character`.
city,False,Geography,,The city from which the user activity originated.
cityId,False,Geography,,"The geographic ID of the city from which the user activity originated, derived from their IP address."
cm360AccountId,False,Attribution,,The CM360 Account ID that led to the key event. Identifies the CM360 Account.
cm360AccountName,False,Attribution,,"The CM360 Account Name that led to the key event. A CM360 account consists of advertisers, sites, campaigns, and user profiles."
cm360AdvertiserId,False,Attribution,,"The CM360 Advertiser ID that led to the key event. A CM360 Advertiser contains a group of campaigns, creative assets, and other settings."
cm360AdvertiserName,False,Attribution,,"The CM360 Advertiser Name that led to the key event. A CM360 Advertiser contains a group of campaigns, creative assets, and other settings."
cm360CampaignId,False,Attribution,,"The CM360 Campaign ID that led to the key event. A CM360 campaign can be configured to specify when your ads run, what landing pages are used, and other properties."
cm360CampaignName,False,Attribution,,"The CM360 Campaign Name that led to the key event. A CM360 campaign can be configured to specify when your ads run, what landing pages are used, and other properties."
cm360CreativeFormat,False,Attribution,,The CM360 Creative Format that led to the key event. CM360 creative formats are also referred to as creative types.
cm360CreativeId,False,Attribution,,The CM360 Creative ID that led to the key event. Identifies a CM360 creative.
cm360CreativeName,False,Attribution,,The CM360 Creative Name that led to the key event. The name given to a CM360 creative.
cm360CreativeType,False,Attribution,,"The CM360 Creative Type that led to the key event. A category of CM360 creatives like 'Display' or 'Tracking'. To learn more, see [manage creatives](https://support.google.com/campaignmanager/answer/3068258)"
cm360CreativeTypeId,False,Attribution,,The CM360 Creative Type ID that led to the key event. Identifies a CM360 creative type.
cm360CreativeVersion,False,Attribution,,"The CM360 Creative Version that led to the key event. The version number helps you keep track of multiple versions of your creative in your reports. If you upload a new asset to an existing creative, the version number is increased by one."
cm360Medium,False,Attribution,,The CM360 Medium that led to the key event. The CM360 medium is also referred to as the placement cost structure.
cm360PlacementCostStructure,False,Attribution,,The CM360 Placement Cost Structure that led to the key event. Placement cost structures regulate how media cost will be calculated. For example 'CPM'.
cm360PlacementId,False,Attribution,,The CM360 Placement ID that led to the key event. Identifies a CM360 placement. A placement is the part of a website where your ad appears.
cm360PlacementName,False,Attribution,,The CM360 Placement Name that led to the key event. The given name for a CM360 placement. A placement is the part of a website where your ad appears.
cm360RenderingId,False,Attribution,,The CM360 Rendering ID that led to the key event. Identifies a CM360 creative.
cm360SiteId,False,Attribution,,The CM360 Site ID that led to the key event. Identifies a CM360 site.
cm360SiteName,False,Attribution,,The CM360 Site Name that led to the key event. The CM360 Site name from which the ad space was purchased.
cm360Source,False,Attribution,,The CM360 Source that led to the key event. The CM360 source is also referred to as the site name.
cm360SourceMedium,False,Attribution,,The CM360 Source Medium that led to the key event. A combination of the source and medium.
cohort,False,Cohort,,"The cohort's name in the request. A cohort is a set of users who started using your website or app in any consecutive group of days. If a cohort name is not specified in the request, cohorts are named by their zero based index such as cohort_0 and cohort_1."
cohortNthDay,False,Cohort,,"Day offset relative to the firstSessionDate for the users in the cohort. For example, if a cohort is selected with the start and end date of 2020-03-01, then for the date 2020-03-02, cohortNthDay will be 0001."
cohortNthMonth,False,Cohort,,"Month offset relative to the firstSessionDate for the users in the cohort. Month boundaries align with calendar month boundaries. For example, if a cohort is selected with the start and end date in March 2020, then for any date in April 2020, cohortNthMonth will be 0001."
cohortNthWeek,False,Cohort,,"Week offset relative to the firstSessionDate for the users in the cohort. Weeks start on Sunday and end on Saturday. For example, if a cohort is selected with the start and end date in the range 2020-11-08 to 2020-11-14, then for the dates in the range 2020-11-15 to 2020-11-21, cohortNthWeek will be 0001."
comparison,False,Other,,"Comparisons enable you to evaluate subsets of your data side by side. For report requests, the comparisons column is automatically added to the response. For pivot report requests, the requested dimension must be used."
contentGroup,False,Page / Screen,,A category that applies to items of published content. Populated by the event parameter `content_group`.
contentId,False,Page / Screen,,The identifier of the selected content. Populated by the event parameter `content_id`.
contentType,False,Page / Screen,,The category of the selected content. Populated by the event parameter `content_type`.
continent,False,Geography,,"The continent from which the user activity originated. For example, `Americas` or `Asia`."
continentId,False,Geography,,"The geographic ID of the continent from which the user activity originated, derived from their IP address."
country,False,Geography,,The country from which the user activity originated.
countryId,False,Geography,countryIsoCode,"The geographic ID of the country from which the user activity originated, derived from their IP address. Formatted according to ISO 3166-1 alpha-2 standard."
