api_name,custom,category,deprecated_name,description
active1DayUsers,False,User,,The number of distinct active users on your site or app within a 1 day period. The 1 day period includes the last day in the report's date range. Note: this is the same as Active Users.
active28DayUsers,False,User,,The number of distinct active users on your site or app within a 28 day period. The 28 day period includes the last day in the report's date range.
active7DayUsers,False,User,,The number of distinct active users on your site or app within a 7 day period. The 7 day period includes the last day in the report's date range.
activeUsers,False,User,,The number of distinct users who visited your site or app.
addToCarts,False,Ecommerce,,The number of times users added items to their shopping carts.
adUnitExposure,False,Publisher,adUnitExposureMs,"The time that an ad unit was exposed to a user, in milliseconds."
advertiserAdClicks,False,Other,,Total number of times users have clicked on an ad to reach the property. Includes clicks from linked integrations like linked Search Ads 360 advertisers. Also includes uploaded clicks from data import.
advertiserAdCost,False,Other,,"The total amount you paid for your ads. Includes costs from linked integrations like linked Google Ads accounts. Also includes uploaded cost from data import; to learn more, see [Import cost data](https://support.google.com/analytics/answer/10071305)."
advertiserAdCostPerClick,False,Other,,Ads cost per click is ad cost divided by ad clicks and is often abbreviated CPC.
advertiserAdCostPerKeyEvent,False,Other,advertiserAdCostPerConversion,Cost per key event is ad cost divided by key events.
advertiserAdImpressions,False,Other,,The total number of impressions. Includes impressions from linked integrations like linked Display & Video 360 advertisers. Also includes uploaded impressions from data import.
averagePurchaseRevenue,False,Revenue,,The average purchase revenue in the transaction group of events.
averagePurchaseRevenuePerPayingUser,False,Revenue,,Average revenue per paying user (ARPPU) is the total purchase revenue per active user that logged a purchase event. The summary metric is for the time period selected.
averagePurchaseRevenuePerUser,False,Revenue,,The average purchase revenue per active user is the total purchase revenue per active user that logged any event. The summary metric is for the time period selected.
averageRevenuePerUser,False,Revenue,,Average revenue per active user (ARPU). The summary metric is for the time period selected. ARPU uses Total Revenue and includes AdMob estimated earnings.
averageSessionDuration,False,Session,,The average duration (in seconds) of users` sessions.
bounceRate,False,Session,,"The percentage of sessions that were not engaged ((Sessions Minus Engaged sessions) divided by Sessions). This metric is returned as a fraction; for example, 0.2761 means 27.61% of sessions were bounces."
cartToViewRate,False,Other,,"The number of users who added a product(s) to their cart divided by the number of users who viewed the same product(s). This metric is returned as a fraction; for example, 0.1132 means 11.32% of users who viewed a product also added the same product to their cart."
checkouts,False,Ecommerce,,The number of times users started the checkout process. This metric counts the occurrence of the `begin_checkout` event.
cohortActiveUsers,False,Cohort,,"The number of users in the cohort who are active in the time window corresponding to the cohort nth day/week/month. For example in the row where cohortNthWeek = 0001, this metric is the number of users (in the cohort) who are active in week 1."
cohortTotalUsers,False,Cohort,,"The total number of users in the cohort. This metric is the same value in every row of the report for each cohort. Because cohorts are defined by a shared acquisition date, cohortTotalUsers is the same as cohortActiveUsers for the cohort's selection date range. For report rows later than the cohort's selection range, it is typical for cohortActiveUsers to be smaller than cohortTotalUsers. This difference represents users from the cohort that were not active for the later date. cohortTotalUsers is commonly used in the metric expression cohortActiveUsers/cohortTotalUsers to compute a user retention fraction for the cohort. The relationship between activeUsers and totalUsers is not equivalent to the relationship between cohortActiveUsers and cohortTotalUsers."
crashAffectedUsers,False,Other,,"The number of users that logged a crash in this row of the report. For example if the report is time series by date, this metrics reports total users with at least one crash on this date. Crashes are events with the name ""app_exception""."
crashFreeUsersRate,False,Other,,"The number of users without crash events (in this row of the report) divided by the total number of users. This metric is returned as a fraction; for example, 0.9243 means 92.43% of users were crash-free."
dauPerMau,False,User,,"The rolling percent of 30-day active users who are also 1-day active users. This metric is returned as a fraction; for example, 0.113 means 11.3% of 30-day active users were also 1-day active users."
dauPerWau,False,User,,"The rolling percent of 7-day active users who are also 1-day active users. This metric is returned as a fraction; for example, 0.082 means 8.2% of 7-day active users were also 1-day active users."
ecommercePurchases,False,Ecommerce,,The number of times users completed a purchase. This metric counts `purchase` events; this metric does not count `in_app_purchase` and subscription events.
engagedSessions,False,Session,,"The number of sessions that lasted longer than 10 seconds, or had a key event, or had 2 or more screen views."
engagementRate,False,Session,,"The percentage of engaged sessions (Engaged sessions divided by Sessions). This metric is returned as a fraction; for example, 0.7239 means 72.39% of sessions were engaged sessions."
eventCount,False,Event,,The count of events.
eventCountPerUser,False,Event,,The average number of events per user (Event count divided by Active users).
eventsPerSession,False,Event,,The average number of events per session (Event count divided by Sessions).
eventValue,False,Event,,The sum of the event parameter named `value`.
firstTimePurchaserRate,False,User,firstTimePurchaserConversionRate,"The percentage of active users who made their first purchase. This metric is returned as a fraction; for example, 0.092 means 9.2% of active users were first time purchasers."
firstTimePurchasers,False,User,,The number of users that completed their first purchase event.
firstTimePurchasersPerNewUser,False,User,,The average number of first time purchasers per new user.
grossItemRevenue,False,Ecommerce,,The total revenue from items only. Gross item revenue is the product of its price and quantity. Item revenue excludes tax and shipping values; tax & shipping values are specified at the event and not item level. Gross item revenue does not include refunds.
grossPurchaseRevenue,False,Ecommerce,,"The sum of revenue from purchases made in your app or site. Gross purchase revenue sums the revenue for these events: `purchase`, `ecommerce_purchase`, `in_app_purchase`, `app_store_subscription_convert`, and `app_store_subscription_renew`. Purchase revenue is specified by the `value` parameter in tagging."
itemDiscountAmount,False,Ecommerce,,The monetary value of item discounts in eCommerce events. This metric is populated in tagging by the `discount` item parameter.
itemListClickEvents,False,Ecommerce,itemListClicks,The number of times users clicked an item when it appeared in a list. This metric counts the occurrence of the `select_item` event.
itemListClickThroughRate,False,Ecommerce,,"The number of users who selected a list(s) divided by the number of users who viewed the same list(s). This metric is returned as a fraction; for example, 0.2145 means 21.45% of users who viewed a list also selected the same list."
itemListViewEvents,False,Ecommerce,itemListViews,The number of times the item list was viewed. This metric counts the occurrence of the `view_item_list` event.
itemPromotionClickThroughRate,False,Ecommerce,,"The number of users who selected a promotion(s) divided by the number of users who viewed the same promotion(s). This metric is returned as a fraction; for example, 0.1382 means 13.82% of users who viewed a promotion also selected the promotion."
itemRefundAmount,False,Ecommerce,,Item refund amount is the total refunded transaction revenue from items only. Item refund amount is the product of price and quantity for the `refund` event.
itemRevenue,False,Ecommerce,,The total revenue from purchases minus refunded transaction revenue from items only. Item revenue is the product of its price and quantity. Item revenue excludes tax and shipping values; tax & shipping values are specified at the event and not item level.
itemsAddedToCart,False,Ecommerce,,The number of units added to cart for a single item. This metric counts the quantity of items in `add_to_cart` events.
itemsCheckedOut,False,Ecommerce,,The number of units checked out for a single item. This metric counts the quantity of items in `begin_checkout` events.
itemsClickedInList,False,Ecommerce,,The number of units clicked in list for a single item. This metric counts the quantity of items in `select_item` events.
itemsClickedInPromotion,False,Ecommerce,,The number of units clicked in promotion for a single item. This metric counts the quantity of items in `select_promotion` events.
itemsPurchased,False,Ecommerce,itemPurchaseQuantity,The number of units for a single item included in purchase events. This metric counts the quantity of items in purchase events.
itemsViewed,False,Ecommerce,,The number of units viewed for a single item. This metric counts the quantity of items in `view_item` events.
itemsViewedInList,False,Ecommerce,,The number of units viewed in list for a single item. This metric counts the quantity of items in `view_item_list` events.
itemsViewedInPromotion,False,Ecommerce,,The number of units viewed in promotion for a single item. This metric counts the quantity of items in `view_promotion` events.
itemViewEvents,False,Ecommerce,itemViews,The number of times the item details were viewed. The metric counts the occurrence of the `view_item` event.
keyEvents,False,Event,conversions,"The count of key events. Marking an event as a key event affects reports from time of creation. It doesn't change historic data. You can mark any event as key in Google Analytics, and some events (such as `first_open` or `purchase`) are marked as key events by default."
newUsers,False,User,,The number of users who interacted with your site or launched your app for the first time (event triggered: first_open or first_visit).
organicGoogleSearchAveragePosition,False,Other,,"The average ranking of your website URLs for the query reported from Search Console. For example, if your site's URL appears at position 3 for one query and position 7 for another query, the average position would be (3+7)/2, or 5. This metric requires an active Search Console link."
organicGoogleSearchClicks,False,Other,,The number of organic Google Search clicks reported from Search Console.  This metric requires an active Search Console link.
organicGoogleSearchClickThroughRate,False,Other,,"The organic Google Search click through rate reported from Search Console. Click through rate is clicks per impression. This metric is returned as a fraction; for example, 0.0588 means about 5.88% of impressions resulted in a click. This metric requires an active Search Console link."
organicGoogleSearchImpressions,False,Other,,The number of organic Google Search impressions reported from Search Console. This metric requires an active Search Console link.
promotionClicks,False,Ecommerce,itemPromotionClicks,The number of times an item promotion was clicked. This metric counts the occurrence of the `select_promotion` event.
